Feature,ADNIMERGE Frequency,Gene Expression Frequency,MRI Frequency,Total Frequency,Domain
MRI_783168,0,0,11957,11957,MRI
MRI_785279,0,0,11957,11957,MRI
MRI_784702,0,0,11955,11955,MRI
MRI_786170,0,0,11954,11954,MRI
MRI_786452,0,0,11946,11946,MRI
MRI_783526,0,0,11945,11945,MRI
MRI_785421,0,0,11944,11944,MRI
MRI_785655,0,0,11943,11943,MRI
MRI_785068,0,0,11942,11942,MRI
MRI_781561,0,0,11942,11942,MRI
MRI_785721,0,0,11939,11939,MRI
MRI_785052,0,0,11935,11935,MRI
MRI_784182,0,0,11934,11934,MRI
MRI_783919,0,0,11933,11933,MRI
MRI_784447,0,0,11933,11933,MRI
MRI_784629,0,0,11931,11931,MRI
MRI_786108,0,0,11929,11929,MRI
MRI_784732,0,0,11928,11928,MRI
MRI_786307,0,0,11927,11927,MRI
MRI_784589,0,0,11926,11926,MRI
MRI_781869,0,0,11926,11926,MRI
MRI_782627,0,0,11926,11926,MRI
MRI_783062,0,0,11925,11925,MRI
MRI_781527,0,0,11922,11922,MRI
MRI_786572,0,0,11921,11921,MRI
MRI_782008,0,0,11921,11921,MRI
MRI_782395,0,0,11920,11920,MRI
MRI_783963,0,0,11919,11919,MRI
MRI_783737,0,0,11918,11918,MRI
MRI_786785,0,0,11918,11918,MRI
MRI_781677,0,0,11918,11918,MRI
MRI_782222,0,0,11918,11918,MRI
MRI_782492,0,0,11918,11918,MRI
MRI_786954,0,0,11917,11917,MRI
MRI_783133,0,0,11916,11916,MRI
MRI_786776,0,0,11916,11916,MRI
MRI_784277,0,0,11915,11915,MRI
MRI_784315,0,0,11915,11915,MRI
MRI_785431,0,0,11915,11915,MRI
MRI_782309,0,0,11915,11915,MRI
MRI_782796,0,0,11914,11914,MRI
MRI_785943,0,0,11914,11914,MRI
MRI_783033,0,0,11913,11913,MRI
MRI_786202,0,0,11913,11913,MRI
MRI_786844,0,0,11913,11913,MRI
MRI_781933,0,0,11913,11913,MRI
MRI_782667,0,0,11913,11913,MRI
MRI_783907,0,0,11912,11912,MRI
MRI_783993,0,0,11912,11912,MRI
MRI_784729,0,0,11912,11912,MRI
MRI_786265,0,0,11912,11912,MRI
MRI_786402,0,0,11912,11912,MRI
MRI_780830,0,0,11912,11912,MRI
MRI_782793,0,0,11911,11911,MRI
MRI_783582,0,0,11911,11911,MRI
MRI_787003,0,0,11911,11911,MRI
MRI_780974,0,0,11911,11911,MRI
MRI_781502,0,0,11911,11911,MRI
MRI_781990,0,0,11911,11911,MRI
MRI_782213,0,0,11911,11911,MRI
MRI_782313,0,0,11911,11911,MRI
MRI_783490,0,0,11910,11910,MRI
MRI_783819,0,0,11910,11910,MRI
MRI_784212,0,0,11910,11910,MRI
MRI_786198,0,0,11910,11910,MRI
MRI_786274,0,0,11910,11910,MRI
MRI_786299,0,0,11910,11910,MRI
MRI_786896,0,0,11910,11910,MRI
MRI_781266,0,0,11910,11910,MRI
MRI_783384,0,0,11909,11909,MRI
MRI_783724,0,0,11909,11909,MRI
MRI_784131,0,0,11909,11909,MRI
MRI_785651,0,0,11909,11909,MRI
MRI_786410,0,0,11909,11909,MRI
MRI_787042,0,0,11909,11909,MRI
MRI_781478,0,0,11909,11909,MRI
MRI_782034,0,0,11909,11909,MRI
MRI_782174,0,0,11909,11909,MRI
MRI_785257,0,0,11908,11908,MRI
MRI_787027,0,0,11908,11908,MRI
MRI_787140,0,0,11908,11908,MRI
MRI_781346,0,0,11908,11908,MRI
MRI_782178,0,0,11908,11908,MRI
MRI_782201,0,0,11908,11908,MRI
MRI_782470,0,0,11908,11908,MRI
MRI_782777,0,0,11908,11908,MRI
MRI_783134,0,0,11907,11907,MRI
MRI_783383,0,0,11907,11907,MRI
MRI_783513,0,0,11907,11907,MRI
MRI_783656,0,0,11907,11907,MRI
MRI_783942,0,0,11907,11907,MRI
MRI_784056,0,0,11907,11907,MRI
MRI_784335,0,0,11907,11907,MRI
MRI_784349,0,0,11907,11907,MRI
MRI_784375,0,0,11907,11907,MRI
MRI_785070,0,0,11907,11907,MRI
MRI_785307,0,0,11907,11907,MRI
MRI_785715,0,0,11907,11907,MRI
MRI_785987,0,0,11907,11907,MRI
MRI_786741,0,0,11907,11907,MRI
MRI_787197,0,0,11907,11907,MRI
MRI_780926,0,0,11907,11907,MRI
MRI_781712,0,0,11907,11907,MRI
MRI_781913,0,0,11907,11907,MRI
MRI_781995,0,0,11907,11907,MRI
MRI_782639,0,0,11907,11907,MRI
MRI_783253,0,0,11906,11906,MRI
MRI_783317,0,0,11906,11906,MRI
MRI_783694,0,0,11906,11906,MRI
MRI_783854,0,0,11906,11906,MRI
MRI_784234,0,0,11906,11906,MRI
MRI_784360,0,0,11906,11906,MRI
MRI_784491,0,0,11906,11906,MRI
MRI_784531,0,0,11906,11906,MRI
MRI_784594,0,0,11906,11906,MRI
MRI_784599,0,0,11906,11906,MRI
MRI_784799,0,0,11906,11906,MRI
MRI_784975,0,0,11906,11906,MRI
MRI_785470,0,0,11906,11906,MRI
MRI_785912,0,0,11906,11906,MRI
MRI_786021,0,0,11906,11906,MRI
MRI_786282,0,0,11906,11906,MRI
MRI_786576,0,0,11906,11906,MRI
MRI_787054,0,0,11906,11906,MRI
MRI_787120,0,0,11906,11906,MRI
MRI_781138,0,0,11906,11906,MRI
MRI_781764,0,0,11906,11906,MRI
MRI_781881,0,0,11906,11906,MRI
MRI_782108,0,0,11906,11906,MRI
MRI_782327,0,0,11906,11906,MRI
MRI_782783,0,0,11906,11906,MRI
MRI_782872,0,0,11905,11905,MRI
MRI_782940,0,0,11905,11905,MRI
MRI_782975,0,0,11905,11905,MRI
MRI_783042,0,0,11905,11905,MRI
MRI_783159,0,0,11905,11905,MRI
MRI_783166,0,0,11905,11905,MRI
MRI_783476,0,0,11905,11905,MRI
MRI_783491,0,0,11905,11905,MRI
MRI_783908,0,0,11905,11905,MRI
MRI_784651,0,0,11905,11905,MRI
MRI_784827,0,0,11905,11905,MRI
MRI_785000,0,0,11905,11905,MRI
MRI_785605,0,0,11905,11905,MRI
MRI_785970,0,0,11905,11905,MRI
MRI_786091,0,0,11905,11905,MRI
MRI_786610,0,0,11905,11905,MRI
MRI_786784,0,0,11905,11905,MRI
MRI_786792,0,0,11905,11905,MRI
MRI_781160,0,0,11905,11905,MRI
MRI_781187,0,0,11905,11905,MRI
MRI_781506,0,0,11905,11905,MRI
MRI_781769,0,0,11905,11905,MRI
MRI_782068,0,0,11905,11905,MRI
MRI_782104,0,0,11905,11905,MRI
MRI_782998,0,0,11904,11904,MRI
MRI_783056,0,0,11904,11904,MRI
MRI_783198,0,0,11904,11904,MRI
MRI_783227,0,0,11904,11904,MRI
MRI_783896,0,0,11904,11904,MRI
MRI_784300,0,0,11904,11904,MRI
MRI_784446,0,0,11904,11904,MRI
MRI_784734,0,0,11904,11904,MRI
MRI_784748,0,0,11904,11904,MRI
MRI_785059,0,0,11904,11904,MRI
MRI_785067,0,0,11904,11904,MRI
MRI_785118,0,0,11904,11904,MRI
MRI_785348,0,0,11904,11904,MRI
MRI_785764,0,0,11904,11904,MRI
MRI_786036,0,0,11904,11904,MRI
MRI_786087,0,0,11904,11904,MRI
MRI_786496,0,0,11904,11904,MRI
MRI_786527,0,0,11904,11904,MRI
MRI_786571,0,0,11904,11904,MRI
MRI_787077,0,0,11904,11904,MRI
MRI_781008,0,0,11904,11904,MRI
MRI_781028,0,0,11904,11904,MRI
MRI_781188,0,0,11904,11904,MRI
MRI_781220,0,0,11904,11904,MRI
MRI_781238,0,0,11904,11904,MRI
MRI_781639,0,0,11904,11904,MRI
MRI_781805,0,0,11904,11904,MRI
MRI_781851,0,0,11904,11904,MRI
MRI_781889,0,0,11904,11904,MRI
MRI_782461,0,0,11904,11904,MRI
MRI_782531,0,0,11904,11904,MRI
MRI_783190,0,0,11903,11903,MRI
MRI_783281,0,0,11903,11903,MRI
MRI_783318,0,0,11903,11903,MRI
MRI_783322,0,0,11903,11903,MRI
MRI_783362,0,0,11903,11903,MRI
MRI_783484,0,0,11903,11903,MRI
MRI_783635,0,0,11903,11903,MRI
MRI_783823,0,0,11903,11903,MRI
MRI_783962,0,0,11903,11903,MRI
MRI_784814,0,0,11903,11903,MRI
MRI_785008,0,0,11903,11903,MRI
MRI_785041,0,0,11903,11903,MRI
MRI_785822,0,0,11903,11903,MRI
MRI_786106,0,0,11903,11903,MRI
