Feature,ADNIMERGE Frequency,Gene Expression Frequency,MRI Frequency,Total Frequency,Domain
L.LDL.L,22,0,0,22,ADNIMERGE
LDL.C,21,0,0,21,ADNIMERGE
L.LDL.P,20,0,0,20,ADNIMERGE
L.LDL.PL,20,0,0,20,ADNIMERGE
L.LDL.C,20,0,0,20,ADNIMERGE
L.LDL.FC,20,0,0,20,ADNIMERGE
S.LDL.P,20,0,0,20,ADNIMERGE
M.LDL.P,19,0,0,19,ADNIMERGE
S.LDL.L,19,0,0,19,ADNIMERGE
CTX_RH_PARSOPERCULARIS_SUVR,19,0,0,19,ADNIMERGE
IDL.PL,18,0,0,18,ADNIMERGE
M.VLDL.L,17,0,0,17,ADNIMERGE
M.LDL.L,17,0,0,17,ADNIMERGE
IDL.L,17,0,0,17,ADNIMERGE
CTX_LH_SUPERIORFRONTAL_SUVR,17,0,0,17,ADNIMERGE
CTX_RH_SUPERIORFRONTAL_SUVR,17,0,0,17,ADNIMERGE
CTX_RH_SUPRAMARGINAL_SUVR,17,0,0,17,ADNIMERGE
L.VLDL.P,16,0,0,16,ADNIMERGE
M.VLDL.FC,16,0,0,16,ADNIMERGE
S.LDL.C,16,0,0,16,ADNIMERGE
IDL.P,16,0,0,16,ADNIMERGE
L.VLDL.TG,15,0,0,15,ADNIMERGE
M.VLDL.P,15,0,0,15,ADNIMERGE
VLDL.TG,15,0,0,15,ADNIMERGE
M.VLDL.PL,15,0,0,15,ADNIMERGE
M.LDL.C,15,0,0,15,ADNIMERGE
CTX_LH_SUPRAMARGINAL_SUVR,15,0,0,15,ADNIMERGE
CTX_LH_ROSTRALANTERIORCINGULATE_SUVR,15,0,0,15,ADNIMERGE
CTX_LH_CAUDALMIDDLEFRONTAL_SUVR,15,0,0,15,ADNIMERGE
CTX_LH_PARSOPERCULARIS_SUVR,15,0,0,15,ADNIMERGE
CTX_RH_CAUDALMIDDLEFRONTAL_SUVR,15,0,0,15,ADNIMERGE
CTX_RH_ROSTRALMIDDLEFRONTAL_SUVR,15,0,0,15,ADNIMERGE
XL.VLDL.L,14,0,0,14,ADNIMERGE
XL.VLDL.P,14,0,0,14,ADNIMERGE
L.VLDL.L,14,0,0,14,ADNIMERGE
L.VLDL.FC,14,0,0,14,ADNIMERGE
SERUM.TG,14,0,0,14,ADNIMERGE
IDL.C,14,0,0,14,ADNIMERGE
IDL.CE,14,0,0,14,ADNIMERGE
CTX_LH_POSTERIORCINGULATE_SUVR,14,0,0,14,ADNIMERGE
CTX_RH_POSTERIORCINGULATE_SUVR,14,0,0,14,ADNIMERGE
CTX_RH_PARSTRIANGULARIS_SUVR,14,0,0,14,ADNIMERGE
CTX_RH_PRECUNEUS_SUVR,14,0,0,14,ADNIMERGE
S.VLDL.TG,13,0,0,13,ADNIMERGE
