Feature,ADNIMERGE Frequency,Gene Expression Frequency,MRI Frequency,Total Frequency,Domain
MRI_792434,0,0,4945,4945,MRI
MRI_787991,0,0,4944,4944,MRI
MRI_787556,0,0,4943,4943,MRI
MRI_792774,0,0,4943,4943,MRI
MRI_787343,0,0,4942,4942,MRI
MRI_1668,0,0,4941,4941,MRI
MRI_1679,0,0,4941,4941,MRI
MRI_4657,0,0,4941,4941,MRI
MRI_791977,0,0,4941,4941,MRI
MRI_792436,0,0,4941,4941,MRI
MRI_792486,0,0,4941,4941,MRI
MRI_3781,0,0,4940,4940,MRI
MRI_790018,0,0,4940,4940,MRI
MRI_790213,0,0,4940,4940,MRI
MRI_791184,0,0,4940,4940,MRI
MRI_791769,0,0,4940,4940,MRI
MRI_2808,0,0,4939,4939,MRI
MRI_2963,0,0,4939,4939,MRI
MRI_3876,0,0,4939,4939,MRI
MRI_788227,0,0,4939,4939,MRI
MRI_997,0,0,4938,4938,MRI
MRI_1596,0,0,4938,4938,MRI
MRI_3550,0,0,4938,4938,MRI
MRI_4834,0,0,4938,4938,MRI
MRI_790346,0,0,4938,4938,MRI
MRI_791800,0,0,4938,4938,MRI
MRI_792566,0,0,4938,4938,MRI
MRI_1155,0,0,4937,4937,MRI
MRI_1209,0,0,4937,4937,MRI
MRI_1270,0,0,4937,4937,MRI
MRI_1639,0,0,4937,4937,MRI
MRI_1843,0,0,4937,4937,MRI
MRI_2187,0,0,4937,4937,MRI
MRI_3387,0,0,4937,4937,MRI
MRI_4404,0,0,4937,4937,MRI
MRI_4989,0,0,4937,4937,MRI
MRI_5229,0,0,4937,4937,MRI
MRI_5618,0,0,4937,4937,MRI
MRI_143,0,0,4937,4937,MRI
MRI_356,0,0,4937,4937,MRI
MRI_409,0,0,4937,4937,MRI
MRI_520,0,0,4937,4937,MRI
MRI_787720,0,0,4937,4937,MRI
MRI_788859,0,0,4937,4937,MRI
MRI_789633,0,0,4937,4937,MRI
MRI_790580,0,0,4937,4937,MRI
MRI_791168,0,0,4937,4937,MRI
MRI_791245,0,0,4937,4937,MRI
MRI_791372,0,0,4937,4937,MRI
MRI_791749,0,0,4937,4937,MRI
MRI_791931,0,0,4937,4937,MRI
MRI_793221,0,0,4937,4937,MRI
MRI_1659,0,0,4936,4936,MRI
MRI_2340,0,0,4936,4936,MRI
MRI_2893,0,0,4936,4936,MRI
MRI_3051,0,0,4936,4936,MRI
MRI_3275,0,0,4936,4936,MRI
MRI_5009,0,0,4936,4936,MRI
MRI_5149,0,0,4936,4936,MRI
MRI_5234,0,0,4936,4936,MRI
MRI_5574,0,0,4936,4936,MRI
MRI_5768,0,0,4936,4936,MRI
MRI_787232,0,0,4936,4936,MRI
MRI_787394,0,0,4936,4936,MRI
MRI_787427,0,0,4936,4936,MRI
MRI_787609,0,0,4936,4936,MRI
MRI_787838,0,0,4936,4936,MRI
MRI_787957,0,0,4936,4936,MRI
MRI_788159,0,0,4936,4936,MRI
MRI_788224,0,0,4936,4936,MRI
MRI_788640,0,0,4936,4936,MRI
MRI_788886,0,0,4936,4936,MRI
MRI_789012,0,0,4936,4936,MRI
MRI_789262,0,0,4936,4936,MRI
MRI_789974,0,0,4936,4936,MRI
MRI_790221,0,0,4936,4936,MRI
MRI_790916,0,0,4936,4936,MRI
MRI_791077,0,0,4936,4936,MRI
MRI_791649,0,0,4936,4936,MRI
MRI_792848,0,0,4936,4936,MRI
MRI_793032,0,0,4936,4936,MRI
MRI_793123,0,0,4936,4936,MRI
MRI_793464,0,0,4936,4936,MRI
MRI_793529,0,0,4936,4936,MRI
MRI_1013,0,0,4935,4935,MRI
MRI_1062,0,0,4935,4935,MRI
MRI_1249,0,0,4935,4935,MRI
MRI_3041,0,0,4935,4935,MRI
MRI_3748,0,0,4935,4935,MRI
MRI_4110,0,0,4935,4935,MRI
MRI_4184,0,0,4935,4935,MRI
MRI_4353,0,0,4935,4935,MRI
MRI_5643,0,0,4935,4935,MRI
MRI_5899,0,0,4935,4935,MRI
MRI_5965,0,0,4935,4935,MRI
MRI_6013,0,0,4935,4935,MRI
MRI_6021,0,0,4935,4935,MRI
MRI_6056,0,0,4935,4935,MRI
MRI_6248,0,0,4935,4935,MRI
MRI_75,0,0,4935,4935,MRI
MRI_247,0,0,4935,4935,MRI
MRI_787963,0,0,4935,4935,MRI
MRI_788213,0,0,4935,4935,MRI
MRI_788409,0,0,4935,4935,MRI
MRI_788847,0,0,4935,4935,MRI
MRI_789459,0,0,4935,4935,MRI
MRI_790418,0,0,4935,4935,MRI
MRI_790475,0,0,4935,4935,MRI
MRI_790509,0,0,4935,4935,MRI
MRI_790901,0,0,4935,4935,MRI
MRI_791282,0,0,4935,4935,MRI
MRI_791384,0,0,4935,4935,MRI
MRI_791705,0,0,4935,4935,MRI
MRI_791712,0,0,4935,4935,MRI
MRI_792548,0,0,4935,4935,MRI
MRI_792628,0,0,4935,4935,MRI
MRI_792798,0,0,4935,4935,MRI
MRI_793162,0,0,4935,4935,MRI
MRI_793291,0,0,4935,4935,MRI
MRI_638,0,0,4934,4934,MRI
MRI_722,0,0,4934,4934,MRI
MRI_757,0,0,4934,4934,MRI
MRI_1419,0,0,4934,4934,MRI
MRI_2263,0,0,4934,4934,MRI
MRI_2433,0,0,4934,4934,MRI
MRI_2708,0,0,4934,4934,MRI
MRI_2818,0,0,4934,4934,MRI
MRI_3799,0,0,4934,4934,MRI
MRI_3984,0,0,4934,4934,MRI
MRI_4362,0,0,4934,4934,MRI
MRI_4529,0,0,4934,4934,MRI
MRI_4549,0,0,4934,4934,MRI
MRI_4698,0,0,4934,4934,MRI
MRI_5471,0,0,4934,4934,MRI
MRI_5572,0,0,4934,4934,MRI
MRI_5591,0,0,4934,4934,MRI
MRI_5832,0,0,4934,4934,MRI
MRI_6160,0,0,4934,4934,MRI
MRI_6181,0,0,4934,4934,MRI
MRI_6264,0,0,4934,4934,MRI
MRI_48,0,0,4934,4934,MRI
MRI_221,0,0,4934,4934,MRI
MRI_787289,0,0,4934,4934,MRI
MRI_787787,0,0,4934,4934,MRI
MRI_787872,0,0,4934,4934,MRI
MRI_787924,0,0,4934,4934,MRI
MRI_788480,0,0,4934,4934,MRI
MRI_788599,0,0,4934,4934,MRI
MRI_789755,0,0,4934,4934,MRI
MRI_790093,0,0,4934,4934,MRI
MRI_790440,0,0,4934,4934,MRI
MRI_790863,0,0,4934,4934,MRI
MRI_791296,0,0,4934,4934,MRI
MRI_791310,0,0,4934,4934,MRI
MRI_791366,0,0,4934,4934,MRI
MRI_791385,0,0,4934,4934,MRI
MRI_791884,0,0,4934,4934,MRI
MRI_791942,0,0,4934,4934,MRI
MRI_792385,0,0,4934,4934,MRI
MRI_792769,0,0,4934,4934,MRI
MRI_792944,0,0,4934,4934,MRI
MRI_793077,0,0,4934,4934,MRI
MRI_793213,0,0,4934,4934,MRI
MRI_652,0,0,4933,4933,MRI
MRI_791,0,0,4933,4933,MRI
MRI_959,0,0,4933,4933,MRI
MRI_967,0,0,4933,4933,MRI
MRI_1027,0,0,4933,4933,MRI
MRI_1098,0,0,4933,4933,MRI
MRI_1236,0,0,4933,4933,MRI
MRI_1280,0,0,4933,4933,MRI
MRI_1309,0,0,4933,4933,MRI
MRI_1812,0,0,4933,4933,MRI
MRI_1943,0,0,4933,4933,MRI
MRI_2035,0,0,4933,4933,MRI
MRI_2139,0,0,4933,4933,MRI
MRI_2227,0,0,4933,4933,MRI
MRI_2259,0,0,4933,4933,MRI
MRI_2279,0,0,4933,4933,MRI
MRI_2442,0,0,4933,4933,MRI
MRI_2750,0,0,4933,4933,MRI
MRI_3040,0,0,4933,4933,MRI
MRI_3282,0,0,4933,4933,MRI
MRI_3321,0,0,4933,4933,MRI
MRI_3531,0,0,4933,4933,MRI
MRI_3536,0,0,4933,4933,MRI
MRI_3663,0,0,4933,4933,MRI
MRI_4034,0,0,4933,4933,MRI
MRI_4199,0,0,4933,4933,MRI
MRI_4317,0,0,4933,4933,MRI
MRI_4494,0,0,4933,4933,MRI
MRI_4569,0,0,4933,4933,MRI
MRI_4867,0,0,4933,4933,MRI
MRI_5428,0,0,4933,4933,MRI
MRI_5452,0,0,4933,4933,MRI
MRI_5473,0,0,4933,4933,MRI
MRI_5503,0,0,4933,4933,MRI
MRI_5595,0,0,4933,4933,MRI
MRI_5598,0,0,4933,4933,MRI
MRI_5879,0,0,4933,4933,MRI
MRI_5923,0,0,4933,4933,MRI
MRI_6064,0,0,4933,4933,MRI
MRI_28,0,0,4933,4933,MRI
MRI_194,0,0,4933,4933,MRI
MRI_227,0,0,4933,4933,MRI
MRI_256,0,0,4933,4933,MRI
MRI_469,0,0,4933,4933,MRI
MRI_787682,0,0,4933,4933,MRI
MRI_787742,0,0,4933,4933,MRI
MRI_787847,0,0,4933,4933,MRI
MRI_788654,0,0,4933,4933,MRI
MRI_788868,0,0,4933,4933,MRI
MRI_788879,0,0,4933,4933,MRI
MRI_788884,0,0,4933,4933,MRI
MRI_789118,0,0,4933,4933,MRI
MRI_789269,0,0,4933,4933,MRI
MRI_789341,0,0,4933,4933,MRI
MRI_789642,0,0,4933,4933,MRI
MRI_789950,0,0,4933,4933,MRI
MRI_790251,0,0,4933,4933,MRI
MRI_790343,0,0,4933,4933,MRI
MRI_790569,0,0,4933,4933,MRI
